# station table. *_ref are ODE-Blasius references from analysis/laminar_bl.jl,
# never reconstructed from DNS values or error columns.
index,x,Cf,Cf_ref,Cf_rel_err,H12,H12_ref,H12_rel_err,dstar,dstar_ref,dstar_rel_err,theta,theta_ref,theta_rel_err,delta99,Ue,similarity_L2,similarity_npts
2,0.001420911528150134,0.0025266567333556487,0.0025266826272345661,1.0248172302388366e-05,2.5915355324800404,2.5911001960244264,0.00016801220434545304,0.0045231397157743615,0.0045229278966916866,4.6832292601844584e-05,0.0017453512248183686,0.0017455627164211169,0.00012115955545950634,0.012905740259155581,0.99999999773036208,1.6017986427238059e-08,223
3,0.0028418230563002681,0.0025240536278023258,0.0025240882552458876,1.3718792712524296e-05,2.5915351010252339,2.5911001960244264,0.00016784569021095113,0.0045277892491020245,0.0045275767970474586,4.6924009042652322e-05,0.0017471456386258443,0.0017473568965006463,0.00012090138839126809,0.012919471315694292,0.99999999096226611,6.3244124192527883e-08,223
4,0.0042627345844504019,0.0025214594320076868,0.0025215018640941645,1.6828100380152922e-05,2.5915349323446852,2.5911001960244264,0.00016778059023955718,0.0045324345748187396,0.0045322209388682236,4.7137143885428237e-05,0.0017489382520952668,0.0017491492400880889,0.0001206232081211844,0.012933076924619657,0.99999997978870048,1.4080933871237449e-07,223
5,0.0056836461126005362,0.0025188713371902317,0.0025189234129385386,2.0673811692485347e-05,2.5915349993289318,2.5911001960244264,0.00016780644190160279,0.0045370756911046429,0.0045368603367447911,4.7467707592324352e-05,0.0017507290822927344,0.0017509397528145691,0.00012031854408244458,0.012946559038072205,0.99999996424654225,2.4701820138135952e-07,224
6,0.0071045576407506705,0.002516290316447933,0.0025163528611639534,2.4855304272197775e-05,2.5915352806294925,2.5911001960244264,0.00016791500604013143,0.0045417125983626284,0.004541495005074031,4.7912259807449796e-05,0.0017525181433221437,0.0017527284402363641,0.00011998259935356441,0.012959919589510588,0.9999999444249571,3.8164839878567509e-07,224
7,0.0085254691689008039,0.0025137158606437704,0.0025137901683114955,2.9560012073345553e-05,2.5915357550030191,2.5911001960244264,0.00016809808407293385,0.0045463453003723757,0.0045461249579370642,4.8468187159427487e-05,0.001754305450579083,0.0017545153077878921,0.0001196097907368292,0.012973160494342767,0.99999992051895903,5.4341254850659998e-07,224
8,0.009946380697050939,0.0025111484844949558,0.0025112352945915349,3.4568682897228856e-05,2.5915364120152113,2.5911001960244264,0.00016835164902314874,0.0045509737907500755,0.0045507502100320205,4.9130518647689871e-05,0.0017560910082722631,0.0017563003611416965,0.00011920106268006524,0.012986283587451084,0.99999989241916931,7.3127807505344013e-07,224
9,0.011367292225201072,0.0025085878991827986,0.0025086882001626315,3.9981445213641177e-05,2.5915372360113706,2.5911001960244264,0.0001686696591721075,0.004555598072335033,0.0045553707753769775,4.9896478083448939e-05,0.0017578748277399031,0.001758083605707864,0.00011875315103507082,0.012999290702861693,0.99999986028305865,9.4224571931733422e-07,225
10,0.012788203753351206,0.002506034407600262,0.0025061488455709654,4.5662878685608274e-05,2.5915382153724478,2.5911001960244264,0.0001690476303052298,0.0045602181455004559,0.0045599866681085514,5.0762734356964872e-05,0.0017596569166721994,0.0017598650469422311,0.00011826490354666123,0.013012183623613581,0.99999982418356026,1.179097046370202e-06,225
11,0.014209115281501341,0.0025034878325972342,0.0025036171912373138,5.1668697807470058e-05,2.5915393311130779,2.5911001960244264,0.00016947823527829129,0.0045648340220553621,0.0045645979015536903,5.1728653161640202e-05,0.0017614372922114768,0.001761644689988152,0.00011772962950696184,0.013024964139477343,0.99999978451642335,1.4394983422975034e-06,225
12,0.015630026809651476,0.0025009483606727432,0.0025010931990183997,5.7910015393786085e-05,2.5915405894006569,2.5911001960244264,0.0001699638543141552,0.0045694456824568108,0.0045692044910797701,5.2786295188057258e-05,0.0017632159423416874,0.001763422540776457,0.00011715764656078606,0.013037633875922928,0.99999974075128784,1.7223970475529965e-06,225
13,0.017050938337801608,0.0024984158754460528,0.002498576829989141,6.4418488619720252e-05,2.5915419749808608,2.5911001960244264,0.0001704986002132259,0.0045740531367123452,0.0045738064500612909,5.393465021919316e-05,0.0017649928810225524,0.0017651986044688538,0.0001165440793917529,0.013051092579322661,0.99999969320021831,2.0226411387950957e-06,226
14,0.018471849865951743,0.0024958904868983335,0.0024960680451349831,7.1135174778493926e-05,2.5915434655827747,2.5911001960244264,0.00017107387781776915,0.0045786564055987737,0.0045784037911353898,5.5175225888330759e-05,0.0017667681311951857,0.0017669728859424736,0.00011587882808888428,0.013064646090213607,0.99999964246524053,2.3479806554822231e-06,226
15,0.019892761394101878,0.0024933721203498891,0.0024935668077344241,7.807586463337282e-05,2.5915450811886918,2.5911001960244264,0.00017169739902298073,0.0045832554543888413,0.0045829965305791082,5.649661918909695e-05,0.0017685416656099959,0.0017687453914792201,0.00011518100355516771,0.013078078556110479,0.99999958752688611,2.693442169461408e-06,226
16,0.02131367292225201,0.0024908608424936462,0.0024910730794491321,8.5199008104912976e-05,2.5915468026682689,2.5911001960244264,0.00017236178073224524,0.0045878503012950463,0.0045875846811511247,5.7899780033045394e-05,0.0017703135041093503,0.0017705161260031324,0.00011444227522483484,0.013091391875434365,0.99999952887323507,3.0585388286338808e-06,226
17,0.022734584450402145,0.0024883565952462639,0.0024885868228227254,9.2513379219928951e-05,2.5915486235877414,2.5911001960244264,0.00017306453992130835,0.0045924409480635562,0.004592168256672963,5.9381837805465357e-05,0.0017720836515526296,0.0017722850948484405,0.00011366303107577266,0.01310458784197982,0.99999946649736671,3.4425813253287672e-06,226
18,0.02415549597855228,0.0024858594151386205,0.0024861079994444304,9.9989343128075033e-05,2.5915505119893067,2.5911001960244264,0.00017379334290941332,0.0045970274311484139,0.004596747268649894,6.0947988250440944e-05,0.0017738521436804556,0.0017740523024554469,0.00011282574629523446,0.013117668359835594,0.99999940137025478,3.8368483004635758e-06,227
19,0.025576407506702412,0.002483369267747634,0.002483636574723043,0.00010762725035117174,2.5915525100512005,2.5911001960244264,0.00017456446781488055,0.0046016096881705375,0.0046013217350978543,6.2580512570266315e-05,0.0017756189273894455,0.001775817755777159,0.00011196441023675176,0.013130634893370267,0.99999933159942489,4.2559190325708475e-06,227
20,0.026997319034852547,0.0024808861725668084,0.0024811725109395652,0.00011540445958286744,2.5915545890087226,2.5911001960244264,0.00017536681329164883,0.0046061877519094794,0.0046058916677171255,6.4283794260555256e-05,0.0017773840348357702,0.0017775814593291419,0.00011106354217157824,0.01314348927091946,0.99999925801290324,4.691928335389757e-06,227
21,0.028418230563002682,0.0024784100959600098,0.0024787157717298981,0.00012332021822533939,2.5915567428430055,2.5911001960244264,0.0001761980564393395,0.0046107616249354919,0.0046104570801726395,6.6055221327656699e-05,0.0017791474709820036,0.0017793434183851903,0.00011012343157706584,0.013156233166263432,0.99999918055396586,5.1442332768912665e-06,227
22,0.029839142091152814,0.0024759410427218497,0.0024762663190845942,0.00013135758469824235,2.5915589256290006,2.5911001960244264,0.00017704047310790875,0.0046153313637299076,0.0046150179825273641,6.7904654701241089e-05,0.0017809092890333235,0.0017811036368289702,0.00010911650036979127,0.013168868440111354,0.99999910069811049,5.600551265649537e-06,228
23,0.031260053619302952,0.0024734790007011668,0.002473824120782152,0.00013950873794378254,2.5915612075055101,2.5911001960244264,0.00017792113241742738,0.0046198968692498701,0.0046195743950928096,6.9806031785750073e-05,0.0017826694024706139,0.0017828621224994343,0.00010809586809227275,0.01318139630160883,0.9999990154492614,6.0828231848107527e-06,228
24,0.032680965147453084,0.0024710239675990713,0.0024713891395046301,0.00014775977595822678,2.59156354656503,2.5911001960244264,0.00017882386073470366,0.0046244581931092384,0.0046241263281702003,7.1768138559779408e-05,0.0017844278598681072,0.0017846188793722,0.00010703658148011011,0.013194871503636756,0.99999892612421348,6.5789615383505031e-06,228
25,0.034101876675603215,0.0024685759112616492,0.0024689613373937908,0.00015610861389529071,2.591565884348209,2.5911001960244264,0.00017972609646554397,0.0046290154096965564,0.0046286737904982665,7.3804984700195515e-05,0.0017861847301099102,0.0017863739108198624,0.00010590207839826428,0.01320826532078634,0.99999883468141604,7.0900388941326519e-06,228
26,0.035522788203753354,0.0024661348495549937,0.0024665406841458321,0.00016453594033419215,2.5915683166616277,2.5911001960244264,0.0001806648148610767,0.0046335683863201757,0.0046332168044486586,7.5882887927785934e-05,0.0017879398959040312,0.0017881272254764559,0.00010476299994525927,0.013221541837712432,0.99999873715870491,7.6134873316131696e-06,228
27,0.036943699731903486,0.0024637007536031626,0.0024641271425882481,0.00017303854891090575,2.5915707899476024,2.5911001960244264,0.00018161934605924725,0.0046381171915965387,0.0046377553790191012,7.801458849562921e-05,0.0017896934205259792,0.0017898788268145309,0.0001035859443522138,0.013234703079814296,0.99999863534898659,8.1317329901167152e-06,229
28,0.038364611260053617,0.0024612736170298855,0.002461720678078485,0.0001816051075902324,2.5915732994445326,2.5911001960244264,0.00018258785238490344,0.0046426618291168396,0.0046422895274308394,8.0197860086125847e-05,0.0017914453085744976,0.0017916287199366474,0.00010237130054283527,0.013247750762141909,0.99999852919092835,8.6786276234001597e-06,229
29,0.039785522788203756,0.0024588534071410028,0.0024593212527525693,0.00019023363094305135,2.5915757679201881,2.5911001960244264,0.00018354052710555863,0.0046472024009423085,0.0046468192563081604,8.2453095981281006e-05,0.0017931956528023174,0.0017933769073993596,0.00010106888088851305,0.013260686973461003,0.999998421435351,9.2382226746630191e-06,229
30,0.041206434316353888,0.0024564401395557631,0.0024569288390449634,0.0001989066518468412,2.5915783315216796,2.5911001960244264,0.00018452991435328746,0.0046517387215371372,0.0046513445912142546,8.4734707384842345e-05,0.0017949442874087495,0.0017951233990684341,9.9776795164941462e-05,0.013273512582562515,0.99999830665175915,9.8076042436314073e-06,229
31,0.042627345844504019,0.0024540337821647978,0.0024545433997730051,0.00020762216233553932,2.5915809189925985,2.5911001960244264,0.00018552851368295746,0.004656270886016326,0.004655865539064258,8.7061567536040609e-05,0.0017966912983084916,0.0017968681976126741,9.8448681109463592e-05,0.01328622958831301,0.99999818741431779,1.0364807783730791e-05,230
32,0.044048257372654158,0.0024516343199719121,0.0024521649011625657,0.00021637255732765117,2.5915835270779599,2.5911001960244264,0.00018653506887733273,0.0046607988983718707,0.0046603821127036904,8.9431651332663617e-05,0.0017984366892573108,0.0017986113079896339,9.7085307730154777e-05,0.013298839580126842,0.99999806371538846,1.0953261932911403e-05,230
33,0.04546916890080429,0.0024492417145262472,0.0024497933051220518,0.00022515801420932367,2.5915860569644216,2.5911001960244264,0.00018751144426626474,0.0046653228928448193,0.0046648943162593782,9.1872732024665796e-05,0.0018001805806554651,0.0018003527317920058,9.5620782250441962e-05,0.01331134463735195,0.99999793925877278,1.1552805375838547e-05,230
34,0.046890080428954421,0.0024468559823329961,0.0024474285870462616,0.00023396176554288503,2.5915886918423547,2.5911001960244264,0.00018852833969053846,0.0046698426218527659,0.0046694021790276005,9.4325313665128812e-05,0.0018019227497604894,0.0018020924803262921,9.4185269432981846e-05,0.013323761555022524,0.999997806927022,1.2159824629932713e-05,230
35,0.04831099195710456,0.0024444770848780018,0.0024450707095350233,0.00024278424943155583,2.5915913396083479,2.5911001960244264,0.00018955020908686173,0.0046743582115768628,0.0046739057054838969,9.6815409098853779e-05,0.0018036633091555521,0.0018038305553197663,9.2717225418382352e-05,0.013337126812136502,0.99999767022492791,1.2775423230294698e-05,230
36,0.049731903485254692,0.0024421049791282915,0.0024427196342042953,0.00025162735313419992,2.5915938829549137,2.5911001960244264,0.00019053177922054467,0.004678869823537159,0.0046784048976686631,9.9377005339498287e-05,0.0018054024028650473,0.0018055669575598918,9.1137409308205607e-05,0.013350377647397505,0.99999753365881494,1.3372165531569487e-05,231
37,0.051152815013404823,0.0024397396846205462,0.0024403753388304774,0.00026047395243544046,2.591596544516348,2.5911001960244264,0.00019155897278042399,0.0046833771574155067,0.0046828997880677108,0.00010193883478186539,0.00180713975997739,0.0018073016995841268,8.9602973744849564e-05,0.013363514429821114,0.99999738868915844,1.4002508700872972e-05,231
38,0.052573726541554962,0.0024373811575010163,0.0024380377857411918,0.0002693265231637465,2.5915992140613722,2.5911001960244264,0.00019258924749857018,0.0046878803658735946,0.0046873903791376246,0.00010453294825855898,0.0018088755161053927,0.0018090347823405577,8.8039343809044441e-05,0.013376539428627021,0.99999723959634224,1.4640282324532354e-05,231
39,0.053994638069705093,0.0024350293744841243,0.0024357069425812315,0.00027818128907955132,2.5916018904499007,2.5911001960244264,0.00019362216337449187,0.0046923794537014254,0.0046918766830226074,0.00010715769249375437,0.0018106096738827546,0.0018107662105160741,8.6447732683743897e-05,0.01338945425018203,0.99999708648945818,1.5285150537080184e-05,231
40,0.055415549597855225,0.0024326842838526385,0.0024333827704517939,0.0002870434555701844,2.5916044286542359,2.5911001960244264,0.00019460174893395834,0.0046968746225895279,0.0046963586987614162,0.00010985613774512352,0.0018123424125450014,0.0018124959837396975,8.4729122753252409e-05,0.013402261282561298,0.99999693503308607,1.5904930881691702e-05,232
41,0.056836461126005364,0.002430345914523545,0.0024310652505438925,0.00029589334148337519,2.5916071084453747,2.5911001960244264,0.00019563597800116412,0.0047013654945401856,0.0047008364636666805,0.00011253973151247958,0.0018140733906847439,0.0018142241164117319,8.30799930529768e-05,0.013414960490604215,0.99999677456142,1.6561758575069296e-05,232
42,0.058257372654155495,0.0024280142153871717,0.0024287543447111229,0.0003047361811469084,2.5916097922634966,2.5911001960244264,0.00019667176122794951,0.0047058522613864116,0.0047053099773109825,0.00011524938379064315,0.0018158027784253539,0.0018159506083672207,8.1406367103622213e-05,0.013427554170363202,0.99999661046586619,1.7224751725554928e-05,232
43,0.059678284182305627,0.0024256891627429428,0.0024264500214169192,0.00031356865678694776,2.5916124793438775,2.5911001960244264,0.00019770880347934244,0.0047103349285387858,0.0047097792515349308,0.00011798366211621549,0.0018175305783877489,0.0018176754641758867,7.9709382116518717e-05,0.01344004381803619,0.99999644288314016,1.7893631287682044e-05,232
44,0.061099195710455766,0.0024233706979801812,0.0024241522411468769,0.00032239854965789738,2.5916149935125348,2.5911001960244264,0.00019867911279471408,0.0047148137421178923,0.004714244282200214,0.00012079558961941643,0.0018192570092086437,0.0018193986822406046,7.7868052419584943e-05,0.013452431867580576,0.99999627870398344,1.857121573501696e-05,232
45,0.062520107238605904,0.0024210588614296353,0.002421860988779763,0.00033120288647608097,2.591617676776873,2.5911001960244264,0.00019971468229619218,0.0047192882381692251,0.0047187051121137516,0.00012357755816877472,0.0018209816519072675,0.0018211202790821247,7.6121921462025672e-05,0.013464717880107726,0.999996104871403,1.92098856829529e-05,233
46,0.063941018766756036,0.0024187535958236795,0.0024195762255986774,0.0003399891957503349,2.5916203608442356,2.5911001960244264,0.0002007505617140197,0.0047237586520141699,0.0047231617377995879,0.00012638021895477314,0.0018227047153138499,0.0018228402533589489,7.4355415867756642e-05,0.013477900424370554,0.99999592795185555,1.9893534613667732e-05,233
