job_id,node,gpu_name,gpu_uuid,cuda_runtime,driver_version,julia_version,source_commit,numerical_fingerprint,case,Nx,Ny,Nz,total_nodes,pressure_unknowns,gmg_levels,measured_step,step_time_s,poisson_time_s,poisson_fraction,bicgstab_iterations,div_post,cfl,diffusion_metric,gpu_total_bytes,gpu_used_bytes,gpu_free_bytes,gpu_pool_bytes,host_rss_bytes
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,11,0.051290391000000005,0.042407035827636719,0.8268027402566831,7,1.2247954722953559e-10,0.022572859123747079,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,12,0.051112526000000005,0.042336940765380859,0.82830852001681265,7,9.4951799041033836e-11,0.022572859114512789,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,13,0.051012552000000003,0.042268991470336914,0.8285998212819643,7,6.6281254728807592e-11,0.022572859208920874,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,14,0.050815036000000001,0.042073965072631836,0.82798258910279698,7,7.7461943263618894e-11,0.022572859426387169,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,15,0.044858728,0.036106109619140625,0.80488482908255055,6,8.3737053248545126e-10,0.022572860021818617,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,16,0.044800610000000005,0.03606104850769043,0.80492315858401098,6,8.7113902609860334e-10,0.022572860748318092,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,17,0.044892539000000002,0.036158084869384766,0.80543639711233006,6,9.0183929115011296e-10,0.022572861523953665,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,18,0.044845074000000006,0.036118030548095703,0.80539571744481231,6,5.8944236796248013e-10,0.022572862349746932,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,19,0.062214975000000006,0.053447961807250977,0.85908516088370956,6,6.8250168234181646e-10,0.022572863224129432,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,20,0.045081570000000001,0.03629302978515625,0.80505248120587303,6,4.7136677100573311e-10,0.02257287779739078,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,21,0.044935305000000002,0.036173105239868164,0.80500411068464239,6,2.4874730830102728e-10,0.022572925800226684,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
