station,index,x,xeff,Rex,Ue,y,eta,u_over_Ue,blasius_fp,residual
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0,0,0,0,0
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.00014173998044965787,0.045064056871271838,0.014947721279946501,0.014963841209360366,-1.6119929413865516e-05
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.00028347996089931574,0.090128113742543675,0.029895960639462902,0.029927549787161799,-3.1589147698896786e-05
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.00042521994134897361,0.13519217061381553,0.044844302937028326,0.04489078470216145,-4.648176513312452e-05
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.00056695992179863148,0.18025622748508735,0.059792169848855901,0.059852977627498027,-6.0807778642125998e-05
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.00070869990224828934,0.2253202843563592,0.074738746134018985,0.0748133330673309,-7.4586933311915349e-05
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.00085043988269794721,0.27038434122763105,0.089683005890099282,0.089770828597387581,-8.7822707288298663e-05
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.00099217986314760519,0.3154483980989029,0.10462369729425014,0.10472421525725684,-0.00010051796300669658
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.001133919843597263,0.3605124549701747,0.11955934592506599,0.11967201813210271,-0.00011267220703671532
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0012756598240469209,0.40557651184144661,0.13448825161655059,0.1346125371612204,-0.00012428554466981101
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0014173998044965787,0.4506405687127184,0.14940848970134427,0.14954384807464016,-0.00013535837329589628
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0015591397849462367,0.49570462558399025,0.16431791153440223,0.16446380402189997,-0.00014589248749774519
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0017008797653958944,0.54076868245526211,0.17921414635533833,0.17937003722870559,-0.00015589087336725926
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0018426197458455524,0.58583273932653401,0.1940946033731456,0.19425996094704351,-0.00016535757389790628
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0019843597262952104,0.63089679619780581,0.20895647445431006,0.20913077200573835,-0.00017429755142828185
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0021260997067448681,0.67596085306907761,0.22379673718474133,0.22397945373602551,-0.0001827165512841844
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0022678396871945259,0.7210249099403494,0.23861215839985223,0.23880277936756369,-0.00019062096771146897
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0024095796676441837,0.76608896681162131,0.2533992981642274,0.25359731592492896,-0.00019801776070155208
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0025513196480938419,0.81115302368289321,0.26815451425154951,0.26835942865280182,-0.00020491440125230964
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0026930596285434996,0.85621708055416501,0.2828739671516009,0.28308528579279735,-0.00021131864119644517
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0028347996089931574,0.90128113742543681,0.29755362564173293,0.29777086409209619,-0.00021723845036325518
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0029765395894428151,0.9463451942967086,0.31218927295077842,0.31241195616429907,-0.00022268321352064691
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0031182795698924733,0.99140925116798051,0.32677651354077103,0.32700417581438335,-0.00022766227361231683
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0032600195503421311,1.0364733080392523,0.34131078052530867,0.34154296595189626,-0.00023218542658759445
